# U0 [m]	V0 [m]	Ecart [m]	Altitude [m]
-80.53513183	102.1886252	1.062107253	95
-81.17747632	102.9669975	1.009192686	95
-81.81982067	103.7453699	1.009192638	95
-82.54246046	104.4125484	0.983532107	95
-83.1848045	105.1909209	1.009192549	95
-83.82714839	105.9692934	1.009192502	95
-84.54978774	106.6364721	0.983531929	95
-85.19213133	107.4148448	1.009192412	95
-85.83447477	108.1932175	1.009192365	95
-86.55711223	108.9715914	1.062106751	95
-87.19945682	109.6387693	0.926138753	95
-87.84179981	110.4171423	1.009192227	95
-88.56443679	111.1955164	1.062106587	95
-89.20678097	111.8626945	0.926138604	95
-89.84912351	112.6410676	1.009192091	95
-90.57176001	113.4194419	1.062106422	95
-91.21410224	114.1978152	1.009191996	95
-91.85644586	114.8649936	0.926138402	95
-92.57908189	115.6433681	1.062106259	95
-93.22142367	116.4217416	1.009191858	95
-93.86376687	117.0889202	0.926138254	95
-94.58640242	117.8672949	1.062106094	95
-95.22874376	118.6456685	1.009191722	95
-95.87108494	119.4240422	1.009191675	95
-96.59372162	120.0912223	0.983530855	95
-97.2360625	120.8695961	1.009191585	95
-97.87840323	121.64797	1.009191537	95
-98.60103947	122.3151503	0.983530677	95
-99.2433799	123.0935243	1.009191448	95
-99.88572018	123.8718984	1.009191401	95
-100.6083543	124.6502738	1.062105592	95
-101.250696	125.3174531	0.926137703	95
-101.8930358	126.0958274	1.009191263	95
-102.6156694	126.874203	1.062105428	95
-103.2580107	127.5413825	0.926137553	95
-103.980644	128.3197582	1.062105321	95
-104.6229832	129.0981328	1.00919108	95
-105.345618	129.7653138	0.983530083	95
-105.9879569	130.5436885	1.00919099	95
-106.7105913	131.2108696	0.983529968	95
-107.35293	131.9892444	1.009190901	95
-107.9952702	132.6564244	0.92613721	95
-108.7179024	133.4348006	1.062104943	95
-109.3602425	134.1019807	0.926137115	95
-110.0828743	134.8803571	1.062104835	95
-110.8055061	135.6587336	1.062104777	95
-111.4478456	136.3259139	0.926136966	95
-112.170477	137.1042905	1.062104671	95
-112.8128163	137.771471	0.926136869	95
-113.5354474	138.5498477	1.062104564	95.1
-114.1777865	139.2170283	0.926136772	95.1
-114.9004172	139.9954052	1.062104457	95.1
-115.542756	140.6625859	0.926136675	95.2
-116.2653864	141.440963	1.06210435	95.2
-116.9077229	142.2193387	1.009190272	95.2
-117.630355	142.886521	0.983529036	95.3
-118.2726913	143.6648969	1.009190183	95.3
-118.995323	144.3320794	0.98352892	95.3
-119.7179527	145.1104568	1.062104078	95.4
-120.3602905	145.777638	0.926136332	95.4
-121.0829198	146.5560156	1.062103972	95.4
-121.7252573	147.2231969	0.926136235	95.4
-122.4478863	148.0015746	1.062103864	95.5
-123.0902215	148.779951	1.00918987	95.5
-123.8128522	149.447134	0.983528511	95.5
-124.4551871	150.2255104	1.009189779	95.6
-125.1778176	150.8926935	0.983528396	95.6
-125.8201521	151.6710702	1.009189691	95.6
-126.5427823	152.3382534	0.983528281	95.7
-127.1851165	153.1166302	1.009189603	95.7
-127.9077443	153.8950085	1.062103428	95.7
-128.5500804	154.5621905	0.926135744	95.8
-129.2727078	155.340569	1.062103323	95.8
-129.9953372	156.0077526	0.983527987	95.8
-130.6376707	156.7861297	1.009189376	95.8
-131.3602999	157.4533135	0.983527873	95.9
-132.0026331	158.2316907	1.009189288	95.9
-132.7252619	158.8988746	0.983527756	95.9
-133.3675948	159.677252	1.009189199	96
-134.0902234	160.344436	0.983527641	96
-134.8128495	161.1228151	1.062102895	96
-135.5354777	161.7899994	0.983527526	96
-136.2581058	162.4571837	0.983527472	96
-136.9807315	163.235563	1.062102739	96
-137.6230658	163.9027459	0.926135117	96
-138.3456934	164.5699304	0.983527303	96
-139.0683186	165.34831	1.062102583	96
-139.790946	166.0154947	0.983527188	96
-140.5135708	166.7938744	1.062102475	96
-141.1559044	167.4610576	0.926134879	96
